"Tetris Effect: Connected","Enhance Games",2020,"PlayStation",109,"3.5",0,0,"010301"
"Epic Mickey","Disney",2010,"Wii",110,"3",0,0,"000909"
"Mario Kart Wii","Nintendo",2008,"Wii",112,"5",1,0,"010000"
"LEGO Star Wars II: The Original Trilogy","Traveller's Tales",2006,"PlayStation 2",113,"4",0,0,"000706"
"Mario Party 9","Nintendo",2012,"Wii",114,"2.5",0,0,"000105"
"Super Mario Galaxy","Nintendo",2007,"Wii",115,"4.5",1,0,"010005"
"Biomutant","Experiment 101",2021,"PlayStation",117,"3.5",1,1,"010300"
"LEGO Batman: The Videogame","Traveller's Tales",2008,"PlayStation 2",118,"3.5",1,0,"010003"
"LEGO Harry Potter: Years 1-4","Traveller's Tales",2016,"PlayStation",119,"3.5",1,1,"000900"
"LEGO Lord of the Rings","Traveller's Tales",2012,"3DS",123,"3",1,0,"000004"
"LEGO Harry Potter: Years 5-7","Traveller's Tales",2016,"PlayStation",125,"3.5",1,1,"000901"
"LEGO Pirates of the Caribbean: The Video Game","Traveller's Tales",2011,"Wii",127,"3.5",0,0,"000500"
"Cyberpunk 2077","CD Projekt RED",2020,"PlayStation",129,"3",1,0,"000509"
"LEGO Star Wars: The Skywalker Saga","Traveller's Tales",2022,"PlayStation",130,"4.5",0,0,"010308"
"Super Mario Galaxy 2","Nintendo",2010,"Wii",131,"4",0,0,"000802"
"Wii Sports","Nintendo",2006,"Wii",132,"4.5",0,0,"000104"
"Wii Sports Resort","Nintendo",2009,"Wii",133,"5",0,0,"000906"
"Brain Age: Train Your Brain in Minutes a Day!","Nintendo",2005,"DS",134,"3",0,0,"010100"
"Cooking Mama","Cooking Mama Limited",2006,"DS",136,"2.5",0,0,"000607"
"MySims Agents","Electronic Arts",2009,"DS",137,"4",0,0,"000003"
"The Legend of Zelda: Phantom Hourglass","Nintendo",2007,"DS",138,"2",0,0,"000401"
"LEGO Indiana Jones: The Original Adventures","Traveller's Tales",2008,"Wii",139,"3",0,0,"000207"
"LEGO Star Wars: The Video Game","Traveller's Tales",2005,"PlayStation 2",141,"3.5",0,0,"000804"
"Mario Party DS","Nintendo",2005,"DS",142,"4",0,0,"000908"
"Pokemon Y","Game Freak",2013,"3DS",143,"3",0,0,"010104"
"Mario Kart DS","Nintendo",2005,"DS",146,"5",1,0,"000200"
"New Super Mario Bros.","Nintendo",2006,"DS",150,"4",0,0,"000409"
"Nintendogs: Best Friends","Nintendo",2005,"DS",151,"2.5",0,0,"000604"
